gap_bytes,fn_mod64,top64,top_len,land64,bottom_len,crosses64,ns_per_iter,cycles
125,0,0,7,6,13,0,0.196,1.01
126,0,0,11,11,13,0,0.196,1.00
127,0,0,11,12,13,0,0.196,1.01
128,0,0,11,13,13,0,0.196,1.01
129,0,0,11,14,13,0,0.196,1.01
130,0,0,11,15,13,0,0.196,1.01
131,0,0,11,16,13,0,0.196,1.01
132,0,0,11,17,13,0,0.196,1.01
133,0,0,11,18,13,0,0.196,1.00
134,0,0,11,19,13,0,0.195,1.00
135,0,0,11,20,13,0,0.196,1.00
136,0,0,11,21,13,0,0.196,1.01
137,0,0,11,22,13,0,0.196,1.01
138,0,0,11,23,13,0,0.196,1.01
139,0,0,11,24,13,0,0.196,1.01
140,0,0,11,25,13,0,0.195,1.00
141,0,0,11,26,13,0,0.196,1.00
142,0,0,11,27,13,0,0.195,1.00
143,0,0,11,28,13,0,0.196,1.00
144,0,0,11,29,13,0,0.196,1.01
145,0,0,11,30,13,0,0.196,1.01
146,0,0,11,31,13,0,0.196,1.00
147,0,0,11,32,13,0,0.196,1.00
148,0,0,11,33,13,0,0.196,1.00
149,0,0,11,34,13,0,0.196,1.00
150,0,0,11,35,13,0,0.196,1.01
151,0,0,11,36,13,0,0.196,1.01
152,0,0,11,37,13,0,0.244,1.25
153,0,0,11,38,13,0,0.196,1.01
154,0,0,11,39,13,0,0.196,1.01
155,0,0,11,40,13,0,0.196,1.01
156,0,0,11,41,13,0,0.196,1.01
157,0,0,11,42,13,0,0.196,1.01
158,0,0,11,43,13,0,0.196,1.01
159,0,0,11,44,13,0,0.196,1.01
160,0,0,11,45,13,0,0.196,1.01
161,0,0,11,46,13,0,0.196,1.01
162,0,0,11,47,13,0,0.196,1.01
163,0,0,11,48,13,0,0.196,1.01
164,0,0,11,49,13,0,0.196,1.00
165,0,0,11,50,13,0,0.196,1.00
166,0,0,11,51,13,0,0.196,1.00
167,0,0,11,52,13,1,0.391,2.01
168,0,0,11,53,13,1,0.391,2.01
169,0,0,11,54,13,1,0.391,2.01
170,0,0,11,55,13,1,0.391,2.01
171,0,0,11,56,13,1,0.391,2.01
172,0,0,11,57,13,1,0.391,2.01
173,0,0,11,58,13,1,0.391,2.01
174,0,0,11,59,13,1,0.391,2.01
175,0,0,11,60,13,1,0.391,2.01
176,0,0,11,61,13,1,0.391,2.01
177,0,0,11,62,13,1,0.391,2.01
178,0,0,11,63,13,1,0.391,2.01
179,0,0,11,0,13,0,0.196,1.00
180,0,0,11,1,13,0,0.196,1.00
181,0,0,11,2,13,0,0.195,1.00
182,0,0,11,3,13,0,0.196,1.01
183,0,0,11,4,13,0,0.206,1.06
184,0,0,11,5,13,0,0.244,1.25
185,0,0,11,6,13,0,0.196,1.00
186,0,0,11,7,13,0,0.196,1.00
187,0,0,11,8,13,0,0.196,1.00
188,0,0,11,9,13,0,0.196,1.00
189,0,0,11,10,13,0,0.196,1.01
190,0,0,11,11,13,0,0.196,1.00
191,0,0,11,12,13,0,0.196,1.01
192,0,0,11,13,13,0,0.197,1.01
193,0,0,11,14,13,0,0.198,1.02
194,0,0,11,15,13,0,0.196,1.01
195,0,0,11,16,13,0,0.197,1.01
196,0,0,11,17,13,0,0.196,1.01
197,0,0,11,18,13,0,0.196,1.01
198,0,0,11,19,13,0,0.196,1.01
199,0,0,11,20,13,0,0.196,1.01
200,0,0,11,21,13,0,0.195,1.00
201,0,0,11,22,13,0,0.196,1.01
202,0,0,11,23,13,0,0.196,1.00
203,0,0,11,24,13,0,0.196,1.00
204,0,0,11,25,13,0,0.196,1.00
205,0,0,11,26,13,0,0.196,1.01
206,0,0,11,27,13,0,0.196,1.00
207,0,0,11,28,13,0,0.196,1.01
